iter	RMSE
0	3.961616191
1	3.952618153
2	3.943964349
3	3.936690036
4	3.927892593
5	3.919212425
6	3.910568346
7	3.902154059
8	3.894385061
9	3.886652659
10	3.878947478
11	3.870161916
12	3.862041768
13	3.853225932
14	3.845266596
15	3.837263134
16	3.829655569
17	3.821118998
18	3.812881543
19	3.805136456
20	3.796499971
21	3.788282129
22	3.780308918
23	3.772466252
24	3.764138195
25	3.75666343
26	3.748954059
27	3.741193328
28	3.733628551
29	3.725738172
30	3.718475009
31	3.712134964
32	3.704476321
33	3.697306755
34	3.690952305
35	3.683193545
36	3.67523974
37	3.667786826
38	3.661726647
39	3.655234489
40	3.648519421
41	3.640719546
42	3.634428126
43	3.626666889
44	3.619339116
45	3.612633855
46	3.606292728
47	3.599475467
48	3.592386991
49	3.584728937
50	3.579193774
51	3.571710644
52	3.564977762
53	3.559190084
54	3.552292088
55	3.545661096
56	3.538886001
57	3.531743215
58	3.524889669
59	3.517965858
60	3.511355379
61	3.50514215
62	3.500097776
63	3.493485992
64	3.486651352
65	3.480194727
66	3.47345164
67	3.468336745
68	3.461474736
69	3.45529738
70	3.449958522
71	3.443831798
72	3.438002293
73	3.432513234
74	3.426432555
75	3.42085879
76	3.415083088
77	3.409198852
78	3.403099972
79	3.398372578
80	3.392236943
81	3.387206113
82	3.381457349
83	3.375741994
84	3.36984927
85	3.364222512
86	3.358209718
87	3.352194112
88	3.346181842
89	3.341002594
90	3.335043728
91	3.33029324
92	3.325365111
93	3.320627195
94	3.314704599
95	3.309080186
96	3.303697855
97	3.298324811
98	3.29383922
99	3.288558574
100	3.283263875
101	3.277536036
102	3.272327299
103	3.267143773
104	3.262763659
105	3.257298399
106	3.251691049
107	3.2461279
108	3.241089876
109	3.236904704
110	3.231634699
111	3.226652033
112	3.221470711
113	3.21640484
114	3.211684382
115	3.206571652
116	3.201315409
117	3.197330221
118	3.192429938
119	3.187740731
120	3.183551722
121	3.179056881
122	3.174841524
123	3.169869942
124	3.164756195
125	3.160454143
126	3.155804863
127	3.150905802
128	3.14585896
129	3.140821974
130	3.135876204
131	3.131076546
132	3.126156404
133	3.121450727
134	3.116561071
135	3.111610842
136	3.106739375
137	3.102857519
138	3.098955061
139	3.09518634
140	3.091298929
141	3.087879897
142	3.084046548
143	3.079554495
144	3.074866473
145	3.070250661
146	3.065767181
147	3.062413663
148	3.058234679
149	3.053903631
150	3.050279377
151	3.045972584
152	3.041428841
153	3.037083455
154	3.033473904
155	3.029027802
156	3.025659086
157	3.021494482
158	3.017946642
159	3.014887824
160	3.010897412
161	3.006920389
162	3.002781318
163	2.998520432
164	2.994802453
165	2.990809322
166	2.98681187
167	2.982696876
168	2.978819684
169	2.975475241
170	2.97184493
171	2.968076917
