iter	Passed	Remaining
0	36	3691961
1	54	2731146
2	70	2341509
3	78	1951070
4	84	1692185
5	96	1603228
6	104	1492954
7	111	1388663
8	117	1310721
9	124	1249507
10	136	1236877
11	144	1208041
12	151	1168776
13	159	1141758
14	167	1117360
15	181	1131959
16	191	1124571
17	203	1129016
18	212	1116245
19	222	1110536
20	232	1105215
21	239	1088852
22	247	1075520
23	255	1063570
24	263	1052614
25	271	1044578
26	282	1044915
27	290	1037551
28	296	1022325
29	304	1013411
30	316	1019914
31	322	1007295
32	328	996580
33	336	987947
34	346	988818
35	358	995662
36	369	997118
37	377	993119
38	384	986153
39	394	985709
40	407	992827
41	418	995557
42	427	993646
43	438	995309
44	446	992563
45	455	989241
46	465	989675
47	478	996646
48	484	988631
49	495	990814
50	502	984713
51	515	991569
52	525	991267
53	538	995981
54	552	1003561
55	562	1003612
56	571	1002172
57	578	996040
58	585	991448
59	593	987742
60	600	984611
61	608	981434
62	617	979956
63	624	975495
64	632	972335
65	640	969284
66	648	967752
67	664	976836
68	672	974660
69	683	975257
70	692	975075
71	707	981387
72	720	985870
73	727	983008
74	735	980499
75	748	984170
76	756	981224
77	771	987888
78	782	989835
79	791	987990
80	802	989488
81	810	988204
82	824	992659
83	836	995079
84	842	990889
85	851	989169
86	863	991314
87	874	993293
88	882	990368
89	892	990226
90	900	988444
91	906	984647
92	914	982790
93	928	986376
94	936	985224
95	949	988387
96	957	986259
97	969	988523
98	977	986403
99	990	989104
100	998	987385
101	1011	991066
102	1025	994414
103	1034	993651
104	1048	997241
105	1058	997324
106	1070	999498
107	1078	997433
108	1087	996805
109	1105	1003494
110	1112	1000770
111	1121	1000354
112	1133	1002328
113	1140	999036
114	1147	996433
115	1154	993679
116	1161	991797
117	1177	996852
118	1188	997891
119	1203	1001788
120	1212	1000633
121	1227	1004529
122	1240	1007045
123	1253	1009984
124	1266	1012090
125	1281	1015386
126	1293	1016995
127	1302	1016104
128	1316	1019484
129	1325	1018306
130	1342	1023466
131	1356	1026167
132	1370	1029217
133	1386	1033313
134	1401	1036778
135	1413	1037992
136	1426	1040005
137	1440	1042513
138	1455	1045842
139	1467	1046601
140	1480	1048593
141	1491	1048591
142	1500	1047551
143	1513	1049699
144	1525	1050635
145	1537	1051274
146	1547	1051390
147	1555	1049704
148	1568	1051088
149	1582	1053129
150	1591	1052473
151	1607	1055932
152	1620	1057606
153	1629	1056208
154	1636	1053915
155	1647	1054567
156	1657	1053825
157	1670	1055339
158	1680	1055152
159	1695	1058021
160	1704	1056935
161	1718	1058885
162	1728	1058427
163	1741	1059940
164	1756	1062571
165	1767	1063099
166	1777	1062636
167	1791	1064604
168	1806	1067345
169	1819	1068208
170	1836	1071885
171	1851	1074816
