comment_num,movie_index,movie_name,movie_score
2075220人评价,1,肖申克的救赎,9.7
1538456人评价,2,霸王别姬,9.6
1568300人评价,3,阿甘正传,9.5
1759176人评价,4,这个杀手不太冷,9.4
983201人评价,5,美丽人生,9.5
1521386人评价,6,泰坦尼克号,9.4
1629882人评价,7,千与千寻,9.4
799056人评价,8,辛德勒的名单,9.5
1497893人评价,9,盗梦空间,9.3
1042417人评价,10,忠犬八公的故事,9.4
1249363人评价,11,海上钢琴师,9.3
1121679人评价,12,楚门的世界,9.3
1390290人评价,13,三傻大闹宝莱坞,9.2
985791人评价,14,机器人总动员,9.3
967402人评价,15,放牛班的春天,9.3
1122065人评价,16,星际穿越,9.3
1099660人评价,17,大话西游之大圣娶亲,9.2
678018人评价,18,熔炉,9.3
1315560人评价,19,疯狂动物城,9.2
897740人评价,20,无间道,9.2
929470人评价,21,龙猫,9.2
678927人评价,22,教父,9.3
1110837人评价,23,当幸福来敲门,9.1
1296188人评价,24,怦然心动,9.1
725713人评价,25,触不可及,9.2
295355人评价,26,控方证人,9.6
748635人评价,27,蝙蝠侠：黑暗骑士,9.2
582658人评价,28,活着,9.2
1096652人评价,29,寻梦环游记,9.1
499490人评价,30,乱世佳人,9.3
532185人评价,31,末代皇帝,9.2
1140268人评价,32,摔跤吧！爸爸,9.0
551077人评价,33,指环王3：王者无敌,9.2
677156人评价,34,何以为家,9.1
1041651人评价,35,少年派的奇幻漂流,9.1
974994人评价,36,飞屋环游记,9.0
331849人评价,37,十二怒汉,9.4
449087人评价,38,鬼子来了,9.2
455403人评价,39,素媛,9.2
618466人评价,40,天空之城,9.1
713120人评价,41,哈尔的移动城堡,9.1
880056人评价,42,大话西游之月光宝盒,9.0
481485人评价,43,天堂电影院,9.2
713862人评价,44,罗马假日,9.0
621783人评价,45,闻香识女人,9.1
684439人评价,46,哈利·波特与魔法石,9.0
445881人评价,47,辩护人,9.2
1523873人评价,48,我不是药神,9.0
640113人评价,49,搏击俱乐部,9.0
507242人评价,50,死亡诗社,9.1
376281人评价,51,教父2,9.2
585866人评价,52,狮子王,9.0
502630人评价,53,指环王2：双塔奇兵,9.1
281683人评价,54,大闹天宫,9.3
416986人评价,55,窃听风暴,9.1
588574人评价,56,猫鼠游戏,9.0
565607人评价,57,指环王1：魔戒再现,9.0
378872人评价,58,钢琴家,9.2
445635人评价,59,两杆大烟枪,9.1
550314人评价,60,美丽心灵,9.0
413425人评价,61,饮食男女,9.1
567699人评价,62,黑客帝国,9.0
436168人评价,63,飞越疯人院,9.1
718610人评价,64,本杰明·巴顿奇事,8.9
769540人评价,65,V字仇杀队,8.9
1170768人评价,66,让子弹飞,8.8
850546人评价,67,看不见的客人,8.8
708377人评价,68,西西里的美丽传说,8.9
1105068人评价,69,绿皮书,8.9
290905人评价,70,小鞋子,9.2
465415人评价,71,拯救大兵瑞恩,9.0
288146人评价,72,海豚湾,9.3
659208人评价,73,情书,8.9
360410人评价,74,穿条纹睡衣的男孩,9.1
286102人评价,75,海蒂和爷爷,9.2
433351人评价,76,音乐之声,9.0
305062人评价,77,美国往事,9.2
616673人评价,78,致命魔术,8.9
607274人评价,79,低俗小说,8.8
711784人评价,80,七宗罪,8.8
612162人评价,81,沉默的羔羊,8.8
676820人评价,82,蝴蝶效应,8.8
680644人评价,83,禁闭岛,8.8
457188人评价,84,春光乍泄,8.9
507813人评价,85,心灵捕手,8.9
642185人评价,86,布达佩斯大饭店,8.8
545100人评价,87,被嫌弃的松子的一生,8.9
965700人评价,88,阿凡达,8.7
202575人评价,89,摩登时代,9.3
816630人评价,90,剪刀手爱德华,8.7
449437人评价,91,勇敢的心,8.9
682304人评价,92,喜剧之王,8.7
778830人评价,93,天使爱美丽,8.7
573002人评价,94,致命ID,8.8
642291人评价,95,加勒比海盗,8.8
542518人评价,96,断背山,8.8
543652人评价,97,哈利·波特与死亡圣器(下),8.8
475972人评价,98,杀人回忆,8.8
258860人评价,99,狩猎,9.1
462960人评价,100,请以你的名字呼唤我,8.9
398768人评价,101,幽灵公主,8.9
459561人评价,102,阳光灿烂的日子,8.8
304956人评价,103,小森林 夏秋篇,9.0
579227人评价,104,重庆森林,8.7
452845人评价,105,入殓师,8.8
376982人评价,106,7号房的礼物,8.9
395778人评价,107,第六感,8.9
282592人评价,108,红辣椒,9.0
651025人评价,109,消失的爱人,8.7
269271人评价,110,小森林 冬春篇,9.0
432747人评价,111,爱在黎明破晓前,8.8
257485人评价,112,一一,9.0
332999人评价,113,侧耳倾听,8.9
739850人评价,114,唐伯虎点秋香,8.6
338259人评价,115,超脱,8.9
335684人评价,116,玛丽和马克思,8.9
524212人评价,117,倩女幽魂,8.7
517491人评价,118,蝙蝠侠：黑暗骑士崛起,8.8
541821人评价,119,告白,8.7
378495人评价,120,甜蜜蜜,8.8
