movie_index,movie_name,movie_score
1,活着,9
2,钢琴家,8.8
3,勇敢的心,8.8
4,阿飞正传,8.8
5,射雕英雄传之东成西就,8.8
6,爱·回家,9
7,初恋这件小事,8.8
8,泰坦尼克号,9.4
9,迁徙的鸟,9
10,蝙蝠侠：黑暗骑士,9.3
11,恐怖直播,8.8
12,我爱你,9
13,大闹天宫,9
14,剪刀手爱德华,8.8
15,甜蜜蜜,9.2
16,闻香识女人,8.8
17,英雄本色,9.2
18,三傻大闹宝莱坞,9.1
19,黑客帝国3：矩阵革命,8.8
20,触不可及,9.1
21,忠犬八公物语,9
22,辩护人,8.8
23,喜剧之王,9.1
24,黄金三镖客,8.9
25,这个杀手不太冷,9.5
26,借东西的小人阿莉埃蒂,8.8
27,大话西游之月光宝盒,9.6
28,一一,8.9
29,窃听风暴,9
30,楚门的世界,8.9
31,飞屋环游记,8.9
32,哈尔的移动城堡,8.9
33,上帝之城,8.9
34,美丽心灵,8.8
35,肖申克的救赎,9.5
36,美丽人生,9.3
37,倩女幽魂,9.1
38,搏击俱乐部,8.8
39,春光乍泄,9.2
40,海上钢琴师,9.3
41,驯龙高手,9
42,教父2,9
43,美国往事,9.1
44,魂断蓝桥,9.2
45,狮子王,8.8
46,疯狂原始人,9.5
47,唐伯虎点秋香,9.1
48,速度与激情5,9.1
49,V字仇杀队,8.8
50,龙猫,9.2
51,本杰明·巴顿奇事,8.8
52,指环王2：双塔奇兵,9.1
53,指环王1：护戒使者,9
54,时空恋旅人,8.8
55,末代皇帝,8.8
56,天空之城,9
57,风之谷,8.8
58,幽灵公主,8.9
59,蝙蝠侠：黑暗骑士崛起,8.9
60,十二怒汉,9.1
61,素媛,9.1
62,大话西游之大圣娶亲,8.8
63,教父,9.3
64,海洋,8.9
65,黑客帝国,9
66,鬼子来了,8.9
67,哈利·波特与死亡圣器（下）,9
68,辛德勒的名单,9.2
69,指环王3：王者无敌,9.2
70,7号房的礼物,8.9
71,盗梦空间,9.2
72,加勒比海盗,8.9
73,当幸福来敲门,8.9
74,穿条纹睡衣的男孩,9
75,音乐之声,9
76,无间道,9.1
77,致命魔术,8.8
78,小鞋子,9.1
79,萤火之森,9
80,少年派的奇幻漂流,9
81,断背山,8.9
82,罗马假日,9
83,夜访吸血鬼,8.8
84,天堂电影院,9.2
85,怦然心动,8.9
86,乱世佳人,9.1
87,完美的世界,8.9
88,霸王别姬,9.5
89,魔女宅急便,8.8
90,七武士,9.1
91,忠犬八公的故事,9.2
92,海豚湾,8.9
93,拯救大兵瑞恩,8.9
94,机器人总动员,9.3
95,神偷奶爸,8.9
96,放牛班的春天,8.8
97,熔炉,8.8
98,阿凡达,9
99,千与千寻,9.3
100,无敌破坏王,9
