movie_index,movie_name,movie_score
"
      1.
      ",The Shawshank Redemption,9.2
"
      2.
      ",The Godfather,9.1
"
      3.
      ",The Godfather: Part II,9.0
"
      4.
      ",The Dark Knight,9.0
"
      5.
      ",12 Angry Men,8.9
"
      6.
      ",Schindler's List,8.9
"
      7.
      ",The Lord of the Rings: The Return of the King,8.9
"
      8.
      ",Pulp Fiction,8.8
"
      9.
      ","Il buono, il brutto, il cattivo",8.8
"
      10.
      ",The Lord of the Rings: The Fellowship of the Ring,8.8
"
      11.
      ",Fight Club,8.8
"
      12.
      ",Forrest Gump,8.8
"
      13.
      ",Inception,8.7
"
      14.
      ",Star Wars: Episode V - The Empire Strikes Back,8.7
"
      15.
      ",The Lord of the Rings: The Two Towers,8.7
"
      16.
      ",The Matrix,8.6
"
      17.
      ",Goodfellas,8.6
"
      18.
      ",One Flew Over the Cuckoo's Nest,8.6
"
      19.
      ",Shichinin no samurai,8.6
"
      20.
      ",Se7en,8.6
"
      21.
      ",La vita è bella,8.6
"
      22.
      ",Cidade de Deus,8.6
"
      23.
      ",The Silence of the Lambs,8.6
"
      24.
      ",It's a Wonderful Life,8.6
"
      25.
      ",Star Wars,8.6
"
      26.
      ",Saving Private Ryan,8.5
"
      27.
      ",Sen to Chihiro no kamikakushi,8.5
"
      28.
      ",Gisaengchung,8.5
"
      29.
      ",The Green Mile,8.5
"
      30.
      ",Interstellar,8.5
"
      31.
      ",Léon,8.5
"
      32.
      ",The Usual Suspects,8.5
"
      33.
      ",Seppuku,8.5
"
      34.
      ",The Lion King,8.5
"
      35.
      ",Back to the Future,8.5
"
      36.
      ",The Pianist,8.5
"
      37.
      ",Terminator 2: Judgment Day,8.5
"
      38.
      ",American History X,8.5
"
      39.
      ",Modern Times,8.5
"
      40.
      ",Psycho,8.5
"
      41.
      ",Gladiator,8.5
"
      42.
      ",City Lights,8.5
"
      43.
      ",The Departed,8.5
"
      44.
      ",The Intouchables,8.5
"
      45.
      ",Whiplash,8.5
"
      46.
      ",The Prestige,8.5
"
      47.
      ",Once Upon a Time in the West,8.5
"
      48.
      ",Hotaru no haka,8.5
"
      49.
      ",Casablanca,8.4
"
      50.
      ",Nuovo Cinema Paradiso,8.4
"
      51.
      ",Rear Window,8.4
"
      52.
      ",Alien,8.4
"
      53.
      ",Apocalypse Now,8.4
"
      54.
      ",Memento,8.4
"
      55.
      ",Raiders of the Lost Ark,8.4
"
      56.
      ",The Great Dictator,8.4
"
      57.
      ",Joker,8.4
"
      58.
      ",The Lives of Others,8.4
"
      59.
      ",Django Unchained,8.4
"
      60.
      ",Paths of Glory,8.4
"
      61.
      ",The Shining,8.4
"
      62.
      ",WALL·E,8.4
"
      63.
      ",Avengers: Infinity War,8.4
"
      64.
      ",Sunset Blvd.,8.4
"
      65.
      ",Spider-Man: Into the Spider-Verse,8.4
"
      66.
      ",Mononoke-hime,8.4
"
      67.
      ",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
"
      68.
      ",Witness for the Prosecution,8.4
"
      69.
      ",Oldeuboi,8.4
"
      70.
      ",The Dark Knight Rises,8.3
"
      71.
      ",Once Upon a Time in America,8.3
"
      72.
      ",Avengers: Endgame,8.3
"
      73.
      ",Aliens,8.3
"
      74.
      ",Kimi no na wa.,8.3
"
      75.
      ",Coco,8.3
"
      76.
      ",American Beauty,8.3
"
      77.
      ",Braveheart,8.3
"
      78.
      ",3 Idiots,8.3
"
      79.
      ",Das Boot,8.3
"
      80.
      ",Toy Story,8.3
"
      81.
      ",Tengoku to jigoku,8.3
"
      82.
      ",Amadeus,8.3
"
      83.
      ",Taare Zameen Par,8.3
"
      84.
      ",Star Wars: Episode VI - Return of the Jedi,8.3
"
      85.
      ",Inglourious Basterds,8.3
"
      86.
      ",Reservoir Dogs,8.3
"
      87.
      ",Good Will Hunting,8.3
"
      88.
      ",Capharnaüm,8.3
"
      89.
      ",2001: A Space Odyssey,8.3
"
      90.
      ",1917,8.3
"
      91.
      ",Vertigo,8.3
"
      92.
      ",Requiem for a Dream,8.3
"
      93.
      ",M - Eine Stadt sucht einen Mörder,8.3
"
      94.
      ",Dangal,8.3
"
      95.
      ",Eternal Sunshine of the Spotless Mind,8.3
"
      96.
      ",Jagten,8.3
"
      97.
      ",Citizen Kane,8.3
"
      98.
      ",Full Metal Jacket,8.3
"
      99.
      ",Ladri di biciclette,8.2
"
      100.
      ",North by Northwest,8.2
"
      101.
      ",A Clockwork Orange,8.2
"
      102.
      ",The Kid,8.2
"
      103.
      ",Snatch,8.2
"
      104.
      ",Singin' in the Rain,8.2
"
      105.
      ",Scarface,8.2
"
      106.
      ",Taxi Driver,8.2
"
      107.
      ",Amélie,8.2
"
      108.
      ",Lawrence of Arabia,8.2
"
      109.
      ",Toy Story 3,8.2
"
      110.
      ",The Sting,8.2
"
      111.
      ",Ikiru,8.2
"
      112.
      ",Metropolis,8.2
"
      113.
      ",Jodaeiye Nader az Simin,8.2
"
      114.
      ",Per qualche dollaro in più,8.2
"
      115.
      ",Anand,8.2
"
      116.
      ",Incendies,8.2
"
      117.
      ",The Apartment,8.2
"
      118.
      ",Double Indemnity,8.2
"
      119.
      ",To Kill a Mockingbird,8.2
"
      120.
      ",Indiana Jones and the Last Crusade,8.2
"
      121.
      ",Up,8.2
"
      122.
      ",L.A. Confidential,8.2
"
      123.
      ",Idi i smotri,8.2
"
      124.
      ",Heat,8.2
"
      125.
      ",Monty Python and the Holy Grail,8.2
"
      126.
      ",Die Hard,8.2
"
      127.
      ",Rashômon,8.2
"
      128.
      ",Yôjinbô,8.2
"
      129.
      ",Batman Begins,8.2
"
      130.
      ",Green Book,8.2
"
      131.
      ",Der Untergang,8.2
"
      132.
      ",Bacheha-Ye aseman,8.2
"
      133.
      ",Unforgiven,8.2
"
      134.
      ",Some Like It Hot,8.2
"
      135.
      ",Ran,8.2
"
      136.
      ",Hauru no ugoku shiro,8.2
"
      137.
      ",The Great Escape,8.2
"
      138.
      ",A Beautiful Mind,8.2
"
      139.
      ",All About Eve,8.2
"
      140.
      ",Casino,8.2
"
      141.
      ",Pan's Labyrinth,8.2
"
      142.
      ",The Wolf of Wall Street,8.2
"
      143.
      ",El secreto de sus ojos,8.2
"
      144.
      ","Lock, Stock and Two Smoking Barrels",8.1
"
      145.
      ",Tonari no Totoro,8.1
"
      146.
      ",Raging Bull,8.1
"
      147.
      ",There Will Be Blood,8.1
"
      148.
      ",The Treasure of the Sierra Madre,8.1
"
      149.
      ",Judgment at Nuremberg,8.1
"
      150.
      ",Babam ve Oglum,8.1
"
      151.
      ","Three Billboards Outside Ebbing, Missouri",8.1
"
      152.
      ",Dial M for Murder,8.1
"
      153.
      ",The Gold Rush,8.1
"
      154.
      ",Chinatown,8.1
"
      155.
      ",V for Vendetta,8.1
"
      156.
      ",No Country for Old Men,8.1
"
      157.
      ",Det sjunde inseglet,8.1
"
      158.
      ",Shutter Island,8.1
"
      159.
      ",Inside Out,8.1
"
      160.
      ",Warrior,8.1
"
      161.
      ",The Elephant Man,8.1
"
      162.
      ",Trainspotting,8.1
"
      163.
      ",The Sixth Sense,8.1
"
      164.
      ",The Thing,8.1
"
      165.
      ",Jurassic Park,8.1
"
      166.
      ",Gone with the Wind,8.1
"
      167.
      ",Smultronstället,8.1
"
      168.
      ",Blade Runner,8.1
"
      169.
      ",Room,8.1
"
      170.
      ",Finding Nemo,8.1
"
      171.
      ",The Truman Show,8.1
"
      172.
      ",The Bridge on the River Kwai,8.1
"
      173.
      ",Stalker,8.1
"
      174.
      ",Kill Bill: Vol. 1,8.1
"
      175.
      ",Fargo,8.1
"
      176.
      ",The Third Man,8.1
"
      177.
      ",On the Waterfront,8.1
"
      178.
      ",Gran Torino,8.1
"
      179.
      ",Tôkyô monogatari,8.1
"
      180.
      ",Salinui chueok,8.1
"
      181.
      ",The Deer Hunter,8.1
"
      182.
      ",Relatos salvajes,8.1
"
      183.
      ",Klaus,8.1
"
      184.
      ",Andhadhun,8.1
"
      185.
      ",In the Name of the Father,8.1
"
      186.
      ",Mary and Max,8.1
"
      187.
      ",Eskiya,8.1
"
      188.
      ",The Big Lebowski,8.1
"
      189.
      ",Gone Girl,8.1
"
      190.
      ",Hacksaw Ridge,8.1
"
      191.
      ",The Grand Budapest Hotel,8.1
"
      192.
      ",To Be or Not to Be,8.1
"
      193.
      ",Before Sunrise,8.1
"
      194.
      ",Persona,8.1
